imdb_id,production_company
tt0112438,Spelling Films International
tt0112571,Alcor Films
tt0112757,Universal Pictures
tt0112679,Price Entertainment
tt0109445,View Askew Productions
tt0112883,New Line Cinema
tt0109635,Warner Bros.
tt0109676,Paramount Pictures
tt0109579,Fine Line Features
tt0109642,Castle Rock Entertainment
tt0109686,New Line Cinema
tt0111797,Ang Lee Productions
tt0109759,Alliance Entertainment
tt0109758,Savoy Pictures
tt0109707,Touchstone Pictures
tt0113117,Polygram Filmed Entertainment
tt0113097,Castle Rock Entertainment
tt0113028,Twentieth Century Fox
tt0113198,Walt Disney Pictures
tt0113303,TriStar Pictures
tt0113089,Metro-Goldwyn-Mayer (MGM)
tt0109771,Stéphan Films
tt0113199,RAS
tt0113234,Premavision Inc.
tt0109906,CiBy 2000
tt0110005,WingNut Films
tt0110066,Hollywood Pictures
tt0110116,Icon Entertainment International
tt0110006,Caravan Pictures
tt0113360,Universal Pictures
tt0110099,Paramount Pictures
tt0110148,Geffen Pictures
tt0113463,Touchstone Pictures
tt0110189,Caravan Pictures
tt0110216,Universal Pictures
tt0113501,Warner Bros.
tt0113538,Tapestry Films
tt0113552,Twentieth Century Fox
tt0076759,Lucasfilm
tt0110367,Columbia Pictures
tt0113670,Warner Bros.
tt0110296,Channel Four Films
tt0109731,MK2 Productions
tt0103994,Consejo Nacional para la Cultura y las Artes (CONACULTA)
tt0110322,TriStar Pictures
tt0110443,Universal Pictures
tt0110365,Fine Line Features
tt0107566,Channel Four Films
tt0110391,Mulholland Productions
tt0113691,Paramount Pictures
tt0110428,The Samuel Goldwyn Company
tt0109836,TriStar Pictures
tt0113755,All Girl Productions
tt0110538,TriStar Pictures
tt0110516,Paramount Pictures
tt0110527,Twentieth Century Fox
tt0113808,Cantaloupe Production
tt0113896,American Playhouse
tt0113870,Warner Bros.
tt0110684,Capella International
tt0110638,Egg Pictures
tt0113967,40 Acres & A Mule Filmworks
tt0117169,Distant Justice Joint Venture
tt0106402,Metrodome Films
tt0110671,Alan Jacobs Productions
tt0110632,Warner Bros.
tt0110737,TriStar Pictures
tt0110729,Communicado Productions
tt0114151,New Line Cinema
tt0114069,Warner Bros.
tt0110413,Gaumont
tt0114113,The Samuel Goldwyn Company
tt0114210,Hollywood Pictures
tt0114084,Gramercy Pictures (I)
tt0105652,Ang Lee Productions
tt0110889,British Broadcasting Corporation (BBC)
tt0110932,Baltimore Pictures
tt0114129,Cecile Films
tt0114214,TriStar Pictures
tt0114296,Hollywood Pictures
tt0110907,Etalon Film
tt0111495,MK2 Productions
tt0108394,MK2 Productions
tt0111507,MK2 Productions
tt0110769,Beijing Salon Films
tt0110965,Allegro Films
tt0114571,Paramount Pictures
tt0111333,Nest Family Entertainment
tt0111112,Jones Entertainment Group
tt0111255,Warner Bros.
tt0111282,Canal+
tt0111070,Walt Disney Pictures
tt0111161,Castle Rock Entertainment
tt0111149,Channel Four Films
tt0108260,Kino Korsakoff
tt0106966,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC)
tt0114594,Cineville
tt0111309,Australian Film Finance Corporation (AFFC)
tt0113936,1992 Number Four Limited Partnership
tt0110081,ERA International
tt0114614,Image Comics
tt0114608,Universal Pictures
tt0111280,Paramount Pictures
tt0114609,40 Acres & A Mule Filmworks
tt0111454,British Screen Productions
tt0114852,Universal Pictures
