title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
Penitentiary,Action,1,Other,99.0,0.232477,Fall,Dec,5.7
Penitentiary II,Action,1,Other,108.0,0.004425,Spring,Apr,4.1
Someone to Watch Over Me,Crime,0,Sony Pictures,106.0,3.50111,Fall,Oct,6.1
Naturally Native,Drama,0,Other,107.0,0.101618,Fall,Oct,6.3
Beefcake,Drama,0,Other,97.0,0.653879,Summer,Sep,6.6
The Story of Us,Comedy,0,WarnerMedia,95.0,5.769957,Fall,Oct,6.0
Fever Pitch,Comedy,0,Other,102.0,6.906939,Spring,Apr,6.7
Joe the King,Crime,0,Other,93.0,1.487046,Fall,Oct,6.7
Julien Donkey-Boy,Comedy,0,Other,96.0,1.34763,Summer,Sep,6.8
The Omega Code,Horror,1,Other,100.0,1.789046,Fall,Oct,3.6
The Straight Story,Drama,0,Other,112.0,14.580995,Fall,Oct,8.0
The Bad Seed,Crime,0,WarnerMedia,129.0,7.975238,Summer,Sep,7.5
Time Bandits,Other,0,Other,116.0,9.841623,Summer,Jul,7.0
A Man and a Woman,Drama,1,Other,102.0,2.924112,Winter,Jan,7.6
All That Jazz,Drama,0,Sony Pictures,123.0,5.632325,Fall,Dec,7.9
Red Sorghum,Drama,0,Other,91.0,2.045228,Winter,Jan,7.4
Crimes and Misdemeanors,Comedy,0,Other,104.0,6.645295,Fall,Oct,7.9
Bats,Horror,1,Sony Pictures,91.0,2.584025,Fall,Oct,4.0
The Best Man,Drama,1,Other,120.0,5.055141,Fall,Oct,6.8
Bringing Out the Dead,Drama,0,Other,121.0,8.825864,Fall,Oct,6.9
Crazy in Alabama,Comedy,0,Sony Pictures,111.0,7.250842,Fall,Oct,6.2
Three to Tango,Comedy,0,WarnerMedia,98.0,5.594358,Fall,Oct,6.0
Body Shots,Drama,0,WarnerMedia,106.0,4.607583,Fall,Oct,4.9
Men Cry Bullets,Comedy,0,Other,105.0,0.920469,Fall,Oct,5.1
Brother Can You Spare A Dime,Documentary,0,Other,103.0,0.037413,Summer,Aug,6.4
The Guardian,Drama,0,NBCUniversal,92.0,7.444848,Spring,Apr,5.4
The Ipcress File,Thriller,1,Other,109.0,7.336578,Winter,Mar,7.2
On Any Sunday,Documentary,1,Other,96.0,0.934156,Summer,Jul,7.8
RoboCop,Action,1,Other,102.0,13.485583,Summer,Jul,7.6
RoboCop 2,Action,1,Other,117.0,10.969876,Spring,Jun,5.8
Who Framed Roger Rabbit,Fantasy,0,Walt Disney Studios,104.0,16.78596,Spring,Jun,7.7
Melvin and Howard,Comedy,0,NBCUniversal,95.0,6.737435,Summer,Sep,6.8
For Your Eyes Only,Adventure,1,Other,127.0,9.765123,Spring,Jun,6.7
Licence to Kill,Adventure,1,Other,133.0,11.137888,Summer,Jul,6.6
Live and Let Die,Adventure,1,Other,121.0,9.773768,Summer,Jul,6.8
Rawhead Rex,Horror,0,Other,89.0,3.497943,Fall,Oct,5.3
Thunderball,Adventure,1,Other,130.0,10.517835,Fall,Dec,7.0
The City,Drama,0,Other,88.0,0.467303,Fall,Oct,7.0
House on Haunted Hill,Horror,1,Other,93.0,10.187278,Fall,Oct,5.7
Music of the Heart,Drama,0,Other,124.0,3.104943,Fall,Oct,6.8
Being John Malkovich,Fantasy,0,Other,112.0,11.416319,Summer,Sep,7.7
Dreaming of Joseph Lees,Romance,0,Other,92.0,1.241349,Fall,Oct,6.5
Man Of The Century,Romance,0,Other,80.0,0.007829,Fall,Oct,6.9
Princess Mononoke,Adventure,0,Other,134.0,17.166725,Summer,Jul,8.4
The Suburbans,Comedy,0,Other,81.0,1.73986,Fall,Oct,4.2
My Best Fiend,Documentary,0,Other,95.0,1.807445,Spring,May,7.9
Train of Life,Drama,0,Other,103.0,3.040512,Summer,Sep,7.7
The Bachelor,Comedy,0,WarnerMedia,101.0,5.061725,Fall,Nov,5.1
The Bone Collector,Drama,0,Sony Pictures,118.0,8.884406,Fall,Nov,6.7
American Movie,Documentary,0,Other,107.0,5.964323,Fall,Nov,7.9
Last Night,Romance,0,Other,95.0,5.466969,Fall,Oct,7.1
Portraits Chinois,Drama,0,Other,111.0,0.127894,Summer,Sep,5.8
Rosetta,Drama,0,Other,95.0,2.730118,Spring,May,7.5
"They Shoot Horses, Don't They?",Drama,0,Other,129.0,4.904915,Fall,Dec,7.9
Bride of Re-Animator,Comedy,1,Other,96.0,8.244989,Fall,Oct,6.3
Bustin' Loose,Adventure,0,NBCUniversal,94.0,1.527771,Spring,May,6.1
Coma,Thriller,0,Other,113.0,5.617866,Winter,Jan,6.9
Creepshow,Horror,1,Other,120.0,10.434018,Fall,Nov,6.9
Creepshow 2,Horror,1,Other,92.0,9.330087,Spring,May,6.1
Re-Animator,Other,1,Other,86.0,9.867238,Fall,Oct,7.2
Drugstore Cowboy,Crime,0,Other,100.0,8.026112,Summer,Sep,7.3
Falling Down,Crime,0,Other,113.0,10.175138,Winter,Feb,7.6
The Funhouse,Horror,0,NBCUniversal,96.0,3.99005,Winter,Mar,5.9
Piranha,Horror,1,Other,94.0,16.038604,Summer,Aug,5.9
Slaughterhouse,Horror,0,Other,85.0,1.5568,Summer,Aug,5.4
The Taming of the Shrew,Comedy,0,Other,122.0,2.786435,Winter,Mar,7.2
Nighthawks,Action,0,NBCUniversal,99.0,5.830675,Winter,Mar,6.4
Yojimbo,Drama,1,Other,110.0,10.313688,Spring,Apr,8.2
Repossessed,Comedy,0,Other,80.0,11.966566,Summer,Sep,4.9
The Omega Man,Action,0,Other,98.0,6.445639,Summer,Aug,6.5
Spaceballs,Comedy,0,Other,96.0,9.10373,Spring,Jun,7.1
Robin Hood,Other,1,Walt Disney Studios,83.0,11.179855,Fall,Nov,7.6
Mister Roberts,Comedy,1,Other,123.0,2.593458,Summer,Jul,7.7
Quest for Fire,Adventure,0,Other,100.0,8.341166,Fall,Dec,7.3
Little Big Man,Adventure,0,Other,139.0,8.186994,Fall,Dec,7.6
A Face in the Crowd,Drama,0,Other,125.0,6.656685,Fall,Oct,8.2
Trading Places,Comedy,0,Other,116.0,14.285052,Spring,Jun,7.5
Meatballs,Comedy,1,Other,92.0,6.613063,Spring,Jun,6.3
Meatballs Part II,Comedy,1,Sony Pictures,86.0,1.475532,Summer,Jul,3.8
Meatballs III: Summer Job,Comedy,1,Other,96.0,1.667607,Fall,Oct,3.6
Meatballs 4,Comedy,1,Other,84.0,0.921189,Winter,Mar,3.4
Dead Again,Thriller,0,ViacomCBS,107.0,9.696201,Summer,Aug,6.9
Peter's Friends,Comedy,0,Other,101.0,2.540085,Summer,Sep,7.0
The Incredibly True Adventure of Two Girls In Love,Comedy,0,Other,94.0,2.149553,Spring,Jun,6.5
Experience Preferred...But Not Essential,Comedy,0,Other,80.0,0.122181,Fall,Dec,7.0
Under the Rainbow,Comedy,0,Other,98.0,0.69162,Summer,Jul,5.5
How I Won the War,Comedy,0,Other,109.0,1.494833,Fall,Oct,5.7
Light It Up,Drama,0,Other,99.0,1.252804,Fall,Nov,6.1
Anywhere But Here,Drama,0,Walt Disney Studios,114.0,12.593734,Fall,Nov,6.2
Dogma,Fantasy,0,Other,130.0,8.559088,Fall,Nov,7.3
The Messenger: The Story of Joan of Arc,Adventure,0,Sony Pictures,148.0,9.471838,Fall,Oct,6.4
Pokémon: The First Movie: Mewtwo Strikes Back,Other,1,Other,75.0,7.556826,Summer,Jul,6.3
Felicia's Journey,Drama,0,Other,116.0,1.850056,Fall,Nov,7.0
Oxygen,Other,0,Other,92.0,8.343079,Fall,Nov,6.1
Where's Marlowe?,Comedy,0,Other,101.0,1.193384,Winter,Jan,6.0
The Ape,Drama,0,Other,62.0,0.691803,Summer,Sep,4.6
British Intelligence,Action,0,WarnerMedia,61.0,0.233318,Winter,Jan,6.1
The Commitments,Comedy,0,Other,118.0,7.442056,Summer,Aug,7.6
Holiday Inn,Comedy,0,ViacomCBS,100.0,8.258968,Summer,Aug,7.4
Poison Ivy,Thriller,1,WarnerMedia,93.0,6.901684,Spring,May,5.4
Ten Benny,Drama,0,Other,108.0,0.064219,Spring,Apr,5.8
Tora! Tora! Tora!,Other,0,Walt Disney Studios,144.0,7.262326,Winter,Jan,7.5
Women on the Verge of a Nervous Breakdown,Comedy,0,Other,88.0,5.470331,Winter,Mar,7.6
The Verdict,Drama,0,Walt Disney Studios,129.0,9.596883,Fall,Dec,7.7
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Drama,0,Walt Disney Studios,100.0,0.473593,Fall,Dec,7.5
The Adventures of Buckaroo Banzai Across the 8th Dimension,Comedy,0,Other,103.0,7.778445,Summer,Aug,6.3
Stand and Deliver,Drama,0,Other,103.0,5.355761,Winter,Mar,7.3
Moonstruck,Comedy,0,Other,102.0,12.877291,Fall,Dec,7.1
The Sandpiper,Drama,0,Other,117.0,1.198796,Spring,Jun,6.3
Jeremiah Johnson,Adventure,0,Other,108.0,4.711031,Summer,Sep,7.6
Repulsion,Drama,0,Other,105.0,6.825852,Spring,Jun,7.7
Irma la Douce,Comedy,0,Other,135.0,5.967967,Spring,Jun,7.4
Liberty Heights,Drama,0,Other,127.0,2.64721,Fall,Nov,7.0
Mansfield Park,Drama,0,Other,112.0,6.646005,Fall,Nov,7.0
"Goodbye, 20th Century",Adventure,0,Other,83.0,0.352075,Fall,Nov,6.8
Sleepy Hollow,Drama,0,ViacomCBS,105.0,11.072361,Fall,Nov,7.3
The World Is Not Enough,Adventure,1,Other,128.0,12.130127,Fall,Nov,6.4
All About My Mother,Comedy,0,Other,101.0,10.000915,Spring,Apr,7.8
Home Page,Documentary,0,Other,102.0,0.001183,Fall,Oct,6.8
The Living Dead Girl,Horror,0,Other,86.0,1.605782,Fall,Oct,5.8
Babes in Toyland,Comedy,0,Other,73.0,7.768271,Fall,Dec,7.2
Scrooged,Fantasy,0,ViacomCBS,101.0,11.465634,Fall,Nov,7.0
Harvey,Comedy,0,NBCUniversal,104.0,5.306185,Fall,Oct,7.9
Bicycle Thieves,Drama,0,Other,93.0,13.233136,Fall,Nov,8.3
Matewan,Drama,0,Other,132.0,3.350126,Summer,Aug,7.9
McCabe & Mrs. Miller,Other,0,Other,120.0,5.442081,Spring,Jun,7.7
Maurice,Drama,0,Other,134.0,5.778465,Summer,Sep,7.7
The Grapes of Wrath,Drama,0,Walt Disney Studios,129.0,9.668636,Winter,Mar,8.0
My Man Godfrey,Comedy,0,NBCUniversal,92.0,0.193758,Fall,Oct,6.3
The Shop Around the Corner,Comedy,0,Other,99.0,7.144236,Winter,Jan,8.1
The Natural,Drama,0,Sony Pictures,137.0,12.319855,Spring,May,7.5
Shampoo,Comedy,0,Other,109.0,3.796195,Winter,Mar,6.4
A River Runs Through It,Drama,0,Other,123.0,12.583826,Fall,Oct,7.2
Fatal Attraction,Romance,0,ViacomCBS,119.0,14.260779,Summer,Sep,6.9
Jagged Edge,Other,0,Sony Pictures,108.0,3.892311,Fall,Oct,6.5
Stanley & Iris,Drama,0,Other,104.0,1.914881,Winter,Feb,6.4
Midnight Run,Adventure,1,NBCUniversal,126.0,5.564321,Summer,Jul,7.5
Awakenings,Drama,0,Sony Pictures,120.0,13.201595,Fall,Dec,7.8
Come See the Paradise,Drama,0,Walt Disney Studios,133.0,6.408322,Summer,Aug,6.7
Backdraft,Action,1,Other,137.0,9.883727,Spring,May,6.7
The Fisher King,Comedy,0,Sony Pictures,137.0,11.184385,Summer,Sep,7.5
The River,Drama,0,NBCUniversal,122.0,6.303384,Fall,Dec,6.4
Country,Drama,0,Other,105.0,0.84372,Summer,Sep,6.7
Places in the Heart,Drama,0,Other,111.0,3.712567,Summer,Sep,7.4
"'night, Mother",Drama,0,Other,96.0,0.798428,Summer,Sep,7.6
End of Days,Action,0,Other,121.0,9.62371,Fall,Nov,5.8
Toy Story 2,Other,1,Walt Disney Studios,92.0,17.547693,Fall,Oct,7.9
Flawless,Comedy,0,Other,112.0,8.608461,Fall,Nov,6.5
Miss Julie,Drama,0,Other,103.0,0.994953,Summer,Sep,6.2
Ride with the Devil,Drama,0,NBCUniversal,138.0,7.059308,Fall,Nov,6.7
Tumbleweeds,Comedy,0,Other,102.0,0.88888,Fall,Nov,6.7
A Bay of Blood,Horror,0,Other,84.0,4.725878,Summer,Aug,6.6
The Distinguished Gentleman,Comedy,0,Other,112.0,9.64078,Fall,Dec,5.9
The Hitch-Hiker,Crime,0,Other,71.0,2.211742,Fall,Oct,7.0
Santa Fe Trail,Action,0,WarnerMedia,110.0,1.548028,Fall,Dec,6.3
Lauderdale,Comedy,0,Other,91.0,1.5338,Winter,Jan,3.9
Agnes Browne,Drama,0,Other,92.0,6.485631,Fall,Nov,6.6
The End of the Affair,Drama,0,Sony Pictures,102.0,6.200344,Fall,Dec,7.1
The End of the Affair,Romance,0,Other,105.0,0.402828,Winter,Feb,6.6
Holy Smoke!,Comedy,0,Other,115.0,3.176804,Summer,Sep,5.9
A Map of the World,Drama,0,Other,125.0,1.588189,Summer,Sep,6.6
Sweet and Lowdown,Comedy,0,Other,95.0,6.836569,Fall,Dec,7.2
The Bonfire of the Vanities,Comedy,0,WarnerMedia,125.0,5.507082,Fall,Dec,5.6
Grand Illusion,Drama,0,Other,114.0,6.02384,Spring,Jun,8.1
The Great Santini,Drama,0,Other,115.0,3.919041,Fall,Oct,7.2
The James Dean Story,Documentary,0,WarnerMedia,81.0,0.505885,Summer,Aug,6.4
The Sea Wolves,Other,0,Other,120.0,3.244148,Summer,Jul,6.3
Stealing Home,Drama,0,Other,98.0,7.168975,Summer,Aug,6.7
Tarzan the Fearless,Action,0,Other,85.0,0.756556,Summer,Aug,5.2
The Two Jakes,Crime,1,Other,138.0,4.476578,Summer,Aug,6.2
U2: Rattle and Hum,Documentary,0,ViacomCBS,98.0,2.143483,Fall,Nov,7.6
Hell in the Pacific,Drama,0,Other,103.0,2.664145,Fall,Dec,7.3
The Glass Bottom Boat,Comedy,0,Other,110.0,0.942977,Spring,Jun,6.5
Cradle Will Rock,Drama,0,Other,132.0,6.481649,Fall,Dec,6.8
Deuce Bigalow: Male Gigolo,Comedy,1,Other,88.0,6.567794,Fall,Dec,5.7
The Cider House Rules,Drama,0,Other,126.0,9.526781,Fall,Dec,7.4
Diamonds,Comedy,0,Other,91.0,1.652447,Fall,Dec,5.5
The War Zone,Drama,0,Other,98.0,3.46626,Spring,Jun,7.3
The Bat Whispers,Crime,0,Other,83.0,0.670708,Winter,Jan,6.4
The Last Picture Show,Drama,1,Sony Pictures,118.0,5.961382,Fall,Oct,8.0
The 7th Voyage of Sinbad,Action,1,Sony Pictures,88.0,11.118379,Fall,Dec,7.1
Blood on the Sun,Action,0,Other,93.0,1.130503,Spring,Apr,6.1
Anna and the King,Drama,0,Walt Disney Studios,148.0,17.65016,Fall,Dec,6.7
Bicentennial Man,Comedy,0,Other,131.0,9.369918,Fall,Dec,6.9
Stuart Little,Other,1,Sony Pictures,84.0,8.3595,Fall,Dec,5.9
Fantasia 2000,Other,1,Walt Disney Studios,74.0,14.972573,Fall,Dec,7.2
Onegin,Drama,0,Other,104.0,7.171138,Fall,Dec,6.9
Simpatico,Comedy,0,Other,106.0,3.143748,Summer,Sep,4.7
The Alley Cats,Drama,0,Other,83.0,0.083996,Summer,Sep,4.9
Boiling Point,Drama,0,Other,92.0,2.124785,Spring,Apr,5.0
Brenda Starr,Adventure,0,Other,93.0,6.561712,Spring,May,4.8
Carnal Knowledge,Drama,0,Other,98.0,2.837238,Fall,Oct,7.0
Easy Rider,Adventure,0,Other,95.0,8.635841,Spring,May,7.3
The Falcon and the Snowman,Thriller,0,Other,132.0,4.690847,Winter,Jan,6.8
Hi-Yo Silver,Other,0,Other,68.0,0.001438,Spring,Apr,6.8
Room at the Top,Romance,1,Other,115.0,1.876199,Winter,Jan,7.5
Ulysses,Adventure,0,Other,100.0,1.993626,Fall,Oct,6.7
Man on the Moon,Comedy,0,NBCUniversal,118.0,13.217419,Fall,Dec,7.4
Galaxy Quest,Comedy,0,Other,102.0,15.831374,Fall,Dec,7.3
The Talented Mr. Ripley,Thriller,1,ViacomCBS,139.0,11.65502,Fall,Dec,7.4
Next Friday,Comedy,1,WarnerMedia,98.0,10.06545,Winter,Jan,6.2
The Hurricane,Drama,0,Other,146.0,5.716009,Summer,Sep,7.6
Angela's Ashes,Drama,0,Other,145.0,4.496585,Fall,Dec,7.3
Play It to the Bone,Comedy,0,Other,124.0,4.347609,Fall,Dec,5.5
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Documentary,0,Other,91.0,1.157478,Fall,Dec,7.5
The Third Miracle,Drama,0,Other,119.0,2.269601,Summer,Sep,6.5
Montana,Drama,0,Other,96.0,1.174927,Winter,Jan,6.2
Snow Falling on Cedars,Drama,0,NBCUniversal,127.0,2.813811,Fall,Dec,6.7
"Girl, Interrupted",Drama,0,Sony Pictures,127.0,8.285062,Fall,Dec,7.3
Trans,Drama,0,Other,80.0,0.042209,Summer,Sep,6.1
The Life and Times of Hank Greenberg,Documentary,0,Other,90.0,0.136087,Winter,Jan,7.6
My Dog Skip,Comedy,0,Other,95.0,7.061185,Winter,Jan,7.0
Supernova,Horror,0,Other,91.0,5.496624,Winter,Jan,4.9
The Quarry,Drama,0,Other,112.0,0.203067,Summer,Sep,6.3
The Terrorist,Drama,0,Other,95.0,0.154526,Summer,Sep,7.0
The Way We Were,Drama,0,Sony Pictures,118.0,13.377996,Fall,Oct,7.1
Stalag 17,Comedy,0,ViacomCBS,120.0,9.47371,Spring,May,8.0
The Presidio,Action,0,ViacomCBS,97.0,3.768935,Spring,Jun,6.0
Pal Joey,Comedy,0,Other,111.0,2.774084,Fall,Oct,6.7
The Last Detail,Comedy,0,Sony Pictures,103.0,4.344612,Fall,Dec,7.5
Five Easy Pieces,Drama,0,Other,98.0,9.721297,Summer,Sep,7.5
Even Dwarfs Started Small,Comedy,0,Other,96.0,0.854963,Summer,Sep,6.9
Dead Calm,Crime,0,Other,96.0,13.464246,Spring,Apr,6.8
The Boys from Brazil,Horror,0,Other,125.0,5.923299,Fall,Oct,7.0
Black Sunday,Horror,0,Other,87.0,4.683413,Summer,Aug,7.2
Against All Odds,Action,0,Sony Pictures,128.0,3.027195,Winter,Mar,5.9
The Snows of Kilimanjaro,Action,0,Walt Disney Studios,117.0,1.799027,Summer,Aug,6.2
National Lampoon's Loaded Weapon 1,Comedy,0,WarnerMedia,84.0,11.511683,Winter,Feb,6.2
The Loves of Carmen,Drama,0,Other,99.0,0.366948,Summer,Aug,6.2
Fast Times at Ridgemont High,Comedy,0,NBCUniversal,90.0,14.658885,Summer,Aug,7.2
A Cry in the Dark,Drama,0,Other,120.0,3.970538,Fall,Nov,6.9
Born to Win,Comedy,0,Other,88.0,2.554758,Fall,Dec,5.6
Batman: Mask of the Phantasm,Action,1,WarnerMedia,76.0,7.29114,Fall,Dec,7.8
American Flyers,Drama,0,Other,113.0,5.50751,Summer,Aug,6.5
Vampyros Lesbos,Horror,0,Other,89.0,3.047838,Summer,Jul,5.5
A Star Is Born,Drama,0,Other,111.0,2.537508,Spring,Apr,7.3
Poison,Drama,0,Other,85.0,1.924535,Spring,Apr,6.5
Pacific Heights,Crime,0,Other,102.0,4.817146,Summer,Sep,6.4
Night Tide,Thriller,0,Other,84.0,0.91597,Summer,Aug,6.4
The Draughtsman's Contract,Comedy,0,Other,103.0,2.444637,Fall,Oct,7.3
A Zed & Two Noughts,Comedy,0,Other,115.0,3.464385,Fall,Oct,7.4
Woman in the Dunes,Drama,0,Other,147.0,9.768832,Winter,Feb,8.5
Down to You,Comedy,0,Other,91.0,3.847088,Winter,Jan,5.0
"Not Love, Just Frenzy",Comedy,0,Other,125.0,0.217406,Fall,Nov,5.2
Another Man's Poison,Crime,0,Other,90.0,2.021032,Fall,Nov,6.9
The Odessa File,Drama,0,Sony Pictures,130.0,3.883002,Fall,Oct,7.0
Smashing Time,Comedy,0,Other,96.0,0.325212,Fall,Dec,6.0
Train Ride to Hollywood,Fantasy,0,Other,89.0,0.004393,Fall,Oct,4.4
Where the Buffalo Roam,Comedy,0,NBCUniversal,96.0,3.216608,Spring,Apr,6.7
Zachariah,Other,0,Other,93.0,0.071054,Winter,Jan,5.9
Kestrel's Eye,Documentary,0,Other,89.0,0.001722,Fall,Dec,7.4
Eye of the Beholder,Drama,0,Other,109.0,3.773058,Summer,Sep,5.1
Isn't She Great,Drama,0,Other,95.0,0.907927,Winter,Jan,5.5
The Big Tease,Comedy,0,WarnerMedia,87.0,1.116821,Winter,Jan,6.2
The Cup,Comedy,0,Other,93.0,0.588543,Summer,Aug,7.0
Santitos,Drama,0,Other,105.0,0.28762,Winter,Jan,6.4
Encino Man,Comedy,0,Other,88.0,8.000189,Spring,May,5.8
