imdb_id,id,title,budget,revenue,original_language,genre,belongs_to_franchise,production_company,release_date,cert,runtime,popularity,is_Adult,numVotes,averageRating
tt0113326,33542,Rumble in the Bronx,7500000.0,32392047.0,cn,Crime,0,Golden Harvest Company,1995-01-30,R,91.0,12.314278,0,39261.0,6.8
tt0114536,78406,Steal Big Steal Little,25000000.0,6278139.0,en,Comedy,0,Chicago Pacific Entertainment,1995-09-29,PG-13,113.0,1.522412,0,902.0,4.8
tt0103859,11066,Boomerang,40000000.0,70100000.0,en,Comedy,0,Paramount Pictures,1992-06-30,R,117.0,6.506983,0,26591.0,5.6
tt0116324,2074,Flirting with Disaster,7000000.0,14702438.0,en,Comedy,0,Miramax,1996-03-22,R,92.0,5.579088,0,17828.0,6.7
tt0113451,11863,Jade,50000000.0,9851610.0,en,Action,0,Paramount Pictures,1995-10-13,R,95.0,11.418917,0,11730.0,5.3
tt0115685,11000,The Birdcage,31000000.0,185260553.0,en,Comedy,0,United Artists,1996-03-08,R,117.0,6.49968,0,80737.0,7.1
tt0112442,9737,Bad Boys,19000000.0,141407024.0,en,Action,1,Don Simpson/Jerry Bruckheimer Films,1995-04-07,R,118.0,9.262184,0,242644.0,6.9
tt0112427,22279,An Awfully Big Adventure,4000000.0,851545.0,en,Romance,0,British Broadcasting Corporation (BBC),1995-07-21,R,113.0,0.922958,0,2620.0,6.0
tt0112384,568,Apollo 13,52000000.0,355237933.0,en,Drama,0,Universal Pictures,1995-06-30,PG,140.0,18.761467,0,272480.0,7.6
tt0114287,11780,Rob Roy,28000000.0,31596911.0,en,Adventure,0,United Artists,1995-04-13,R,139.0,10.193549,0,40704.0,6.9
tt0112462,414,Batman Forever,100000000.0,336529144.0,en,Action,1,Warner Bros.,1995-06-16,PG-13,121.0,13.321354,0,236652.0,5.4
tt0112541,5894,Blue in the Face,2000000.0,1275000.0,en,Comedy,1,Miramax,1995-09-15,R,83.0,11.528147,0,9095.0,6.7
tt0109370,1775,Canadian Bacon,11000000.0,178104.0,en,Action,0,Dog Eat Dog Films,1995-06-08,PG,91.0,5.391556,0,16145.0,6.0
tt0112642,8839,Casper,50000000.0,287928194.0,en,Fantasy,1,Universal Pictures,1995-05-26,PG,100.0,12.812539,0,122963.0,6.1
tt0112688,20649,Clockers,25000000.0,13071518.0,en,Mystery,0,Universal Pictures,1995-09-15,R,128.0,4.558992,0,20997.0,6.9
tt0112715,10329,Congo,50000000.0,152022101.0,en,Action,0,Paramount Pictures,1995-06-09,PG-13,109.0,7.260574,0,42708.0,5.3
tt0112740,8963,Crimson Tide,53000000.0,157387195.0,en,Action,0,Hollywood Pictures,1995-05-12,R,116.0,8.657365,0,102975.0,7.3
tt0112851,8068,Desperado,7000000.0,25405445.0,en,Thriller,1,Columbia Pictures,1995-08-25,R,104.0,6.950458,0,172710.0,7.2
tt0112857,8512,Devil in a Blue Dress,27000000.0,16140822.0,en,Drama,0,TriStar Pictures,1995-09-15,R,102.0,4.646132,0,17898.0,6.7
tt0112864,1572,Die Hard: With a Vengeance,90000000.0,366101666.0,en,Action,1,Cinergi Pictures Entertainment,1995-05-19,R,128.0,15.138855,0,366586.0,7.6
tt0113071,6520,First Knight,55000000.0,127600435.0,en,Action,0,Columbia Pictures,1995-07-07,PG-13,134.0,15.178338,0,68934.0,6.0
tt0113243,10428,Hackers,20000000.0,7563728.0,en,Action,1,United Artists,1995-09-14,PG-13,107.0,14.810519,0,65743.0,6.3
tt0113481,9886,Johnny Mnemonic,25000000.0,19075720.0,en,Adventure,0,TriStar Pictures,1995-05-26,R,97.0,11.715868,0,67348.0,5.7
tt0113492,9482,Judge Dredd,90000000.0,113493481.0,en,Science Fiction,0,Hollywood Pictures,1995-06-30,R,96.0,8.184815,0,111299.0,5.6
tt0113540,9344,Kids,1500000.0,7412216.0,en,Drama,0,Guys Upstairs,1995-07-28,PG,91.0,4.877872,0,73695.0,7.1
tt0113677,9071,Living in Oblivion,500000.0,1148752.0,en,Drama,0,JDI Productions,1995-01-20,R,89.0,10.058329,0,16899.0,7.5
tt0113749,2293,Mallrats,6000000.0,2122561.0,en,Romance,1,Gramercy Pictures (I),1995-10-20,R,94.0,8.25547,0,116682.0,7.1
tt0113820,9070,Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,en,Action,1,Twentieth Century Fox,1995-06-30,PG,92.0,7.024227,0,25438.0,5.3
tt0110604,48787,Mute Witness,2.0,1.0,en,Thriller,0,Avrora Media,1995-09-28,R,95.0,2.466066,0,5344.0,6.7
tt0113957,1642,The Net,22000000.0,110627965.0,en,Crime,1,Columbia Pictures,1995-07-28,PG-13,114.0,13.304342,0,61314.0,6.0
tt0114095,36196,Party Girl,150000.0,472370.0,en,Comedy,0,Party Productions,1995-06-09,R,94.0,1.165039,0,4650.0,6.6
tt0114194,11980,The Prophecy,8.0,16.0,en,Fantasy,1,First Look International,1995-09-01,R,98.0,10.187623,0,29364.0,6.5
tt0114345,10533,The Scarlet Letter,50000000.0,10382407.0,en,Drama,0,Allied Stars Ltd.,1995-10-13,R,135.0,6.752119,0,14497.0,5.4
tt0114436,10802,Showgirls,45000000.0,20350754.0,en,Drama,1,Carolco Pictures,1995-09-22,G,128.0,17.502375,0,63097.0,4.9
tt0114478,10149,Smoke,7000000.0,8349430.0,en,Comedy,1,Miramax,1995-06-09,R,112.0,5.552946,0,33290.0,7.4
tt0114508,9348,Species,35000000.0,113374103.0,en,Science Fiction,1,Metro-Goldwyn-Mayer (MGM),1995-07-07,R,108.0,13.492845,0,74809.0,5.8
tt0114558,281,Strange Days,42000000.0,7959291.0,en,Crime,0,Lightstorm Entertainment,1995-10-13,R,145.0,11.223055,0,67723.0,7.2
tt0114666,79593,The Tie That Binds,14000000.0,5780000.0,en,Thriller,0,Hollywood Pictures,1995-09-08,R,99.0,1.820419,0,1080.0,5.0
tt0114781,3512,Under Siege 2: Dark Territory,60000000.0,104324083.0,en,Action,1,Warner Bros.,1995-07-13,R,100.0,7.490247,0,44196.0,5.5
tt0114887,9560,A Walk in the Clouds,20000000.0,50012507.0,en,Drama,0,Twentieth Century Fox,1995-08-11,PG-13,103.0,9.715639,0,31950.0,6.7
tt0114898,9804,Waterworld,175000000.0,264218220.0,en,Adventure,0,Universal Pictures,1995-07-28,PG-13,135.0,16.885184,0,182091.0,6.3
tt0111579,50797,Burnt by the Sun,2800000.0,2616503.0,ru,Drama,1,Studio Trite,1994-05-01,R,135.0,2.486073,0,14517.0,7.9
tt0112471,76,Before Sunrise,2500000.0,5535405.0,en,Drama,1,Castle Rock Entertainment,1995-01-27,R,105.0,11.304979,0,276419.0,8.1
